epoch,accuracy,loss,val_accuracy,val_loss
0,0.9818935990333557,0.0545087531208992,0.9893093705177307,0.03193984553217888
1,0.9885832071304321,0.03538110852241516,0.9889416098594666,0.03487611562013626
2,0.9897975325584412,0.03151160478591919,0.9898546934127808,0.03049406409263611
3,0.9902413487434387,0.03034588135778904,0.9911481738090515,0.026002682745456696
4,0.9907200932502747,0.029013337567448616,0.9912877082824707,0.026672571897506714
5,0.9908152222633362,0.02806578204035759,0.991896390914917,0.025147149339318275
6,0.9910625219345093,0.02771957404911518,0.9912877082824707,0.025674330070614815
7,0.991227388381958,0.026883140206336975,0.9909199476242065,0.0278535895049572
8,0.9913034439086914,0.026819700375199318,0.99154132604599,0.026291072368621826
9,0.9912527203559875,0.026580579578876495,0.991896390914917,0.024691466242074966
